0.51,52,0,157
0.52,52,1,156
0.53,52,1,156
0.54,52,1,156
0.55,51,3,155
0.56,49,6,154
0.57,49,7,153
0.58,48,9,152
0.59,45,14,150
0.60,44,16,149
0.61,42,22,145
0.62,42,28,139
0.63,42,32,135
0.64,41,34,134
0.65,38,38,133
0.66,37,42,130
0.67,36,43,130
0.68,35,44,130
0.69,33,47,129
0.70,33,50,126
0.71,33,51,125
0.72,33,55,121
0.73,32,56,121
0.74,31,60,118
0.75,30,65,114
0.76,30,67,112
0.77,30,70,109
0.78,29,71,109
0.79,25,76,108
0.80,24,78,107
0.81,24,78,107
0.82,23,80,106
0.83,23,81,105
0.84,23,82,104
0.85,22,83,104
0.86,22,86,101
0.87,22,87,100
0.88,22,89,98
0.89,20,93,96
0.90,19,96,94
0.91,19,101,89
0.92,19,105,85
0.93,19,109,81
0.94,19,112,78
0.95,19,115,75
0.96,19,116,74
0.97,19,118,72
0.98,19,136,54
0.99,19,154,36
1.0,19,163,27
