0.51,0.8783,0.8653
0.52,0.8783,0.8653
0.53,0.8783,0.8653
0.54,0.8783,0.8653
0.55,0.8783,0.8653
0.56,0.8783,0.8653
0.57,0.8783,0.8653
0.58,0.8783,0.8653
0.59,0.8783,0.8653
0.6,0.8783,0.8653
0.61,0.8783,0.8653
0.62,0.8783,0.8653
0.63,0.8783,0.8653
0.64,0.8783,0.8653
0.65,0.8783,0.8653
0.66,0.8783,0.8653
0.67,0.8783,0.8653
0.68,0.8783,0.8653
0.69,0.8783,0.8653
0.7,0.8783,0.8653
0.71,0.8783,0.8653
0.72,0.8783,0.8653
0.73,0.8783,0.8653
0.74,0.8783,0.8653
0.75,0.8783,0.8653
0.76,0.8783,0.8653
0.77,0.8783,0.8654
0.78,0.8783,0.8654
0.79,0.8783,0.8653
0.8,0.878,0.8646
0.81,0.878,0.8646
0.82,0.878,0.8646
0.83,0.8735,0.8602
0.84,0.8685,0.8562
0.85,0.8772,0.8635
0.86,0.8852,0.8723
0.87,0.8852,0.8723
0.88,0.8852,0.8723
0.89,0.8499,0.8482
0.9,0.8499,0.8482
0.91,0.8499,0.8482
0.92,0.8499,0.8482
0.93,0.8499,0.8482
0.94,0.8499,0.8482
0.95,0.8499,0.8482
0.96,0.8499,0.8482
0.97,0.8499,0.8482
0.98,0.8499,0.8482
0.99,0.8499,0.8482
1.0,0.8499,0.8482
